approach,model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
nlp,ridge,0.082087275092149,0.07663638386003974,0.0814780118901566,0.0036461914007139408,0.10034708104358592,0.0030568128991523983
answer_description,lasso,0.12491768388567097,0.06319131067241077,0.08163404196113264,0.0039062634914060704,0.09804696277633523,0.0037511510038379966
nlp_plus_efficientnet,ridge,0.0684284643245467,0.06800189694298872,0.08173379768036572,0.002199690824810128,0.10111046758869746,0.0021668351898402553
answer_only,lasso,0.011490409171319826,0.0508906654857779,0.08769960125715906,0.004564972547273939,0.10428026011563094,0.004125483831932294
efficientnet_only,extra_trees_pca,-0.015982953400449685,0.015985370021102622,0.08774169679609231,0.0046438464184608294,0.10575966271085409,0.0034419998400200304
